1	21003	21603
1	23187	23787
1	23626	24226
1	24734	25334
1	25693	26293
1	26902	27502
1	29243	29843
1	30788	31388
1	30925	31525
1	31893	32493
1	33283	33883
1	35323	35923
1	36589	37189
1	38595	39195
1	40006	40606
1	41701	42301
1	45424	46024
1	57803	58403
1	63028	63628
1	66131	66731
1	68204	68804
1	68867	69467
1	70122	70722
1	70695	71295
1	72322	72922
1	73474	74074
1	74559	75159
1	75736	76336
1	76822	77422
1	78031	78631
1	78749	79349
1	91090	91690
1	101783	102383
1	103703	104303
1	105982	106582
1	110962	111562
1	112674	113274
1	114318	114918
1	116053	116653
1	118876	119476
1	123233	123833
1	125704	126304
1	127719	128319
1	128719	129319
1	129806	130406
1	131640	132240
1	132864	133464
1	133248	133848
1	135108	135708
1	135423	136023
1	136708	137308
1	137150	137750
1	142338	142938
1	144380	144980
1	149775	150375
1	152519	153119
1	153526	154126
1	154541	155141
1	158661	159261
1	161306	161906
1	163689	164289
1	168126	168726
1	168604	169204
1	170332	170932
1	171392	171992
1	174287	174887
1	175928	176528
1	227371	227971
1	229117	229717
1	230086	230686
1	230350	230950
1	234436	235036
1	237330	237930
1	242090	242690
1	243132	243732
1	244308	244908
1	245106	245706
1	246396	246996
1	247476	248076
1	248212	248812
1	248802	249402
1	251906	252506
1	252157	252757
1	255145	255745
1	255989	256589
1	257306	257906
1	257809	258409
1	258304	258904
1	320935	321535
1	324638	325238
1	326719	327319
1	326916	327516
1	330168	330768
1	330935	331535
1	336417	337017
1	338167	338767
1	341781	342381
1	349337	349937
1	352870	353470
1	354693	355293
1	355036	355636
1	356090	356690
1	356880	357480
1	358208	358808
1	361998	362598
1	364066	364666
1	366806	367406
1	368958	369558
1	373292	373892
1	373416	374016
1	376740	377340
1	379023	379623
1	382021	382621
1	383252	383852
1	383786	384386
1	385035	385635
1	386814	387414
1	387273	387873
1	389098	389698
1	390720	391320
1	392150	392750
1	392597	393197
1	394574	395174
1	395584	396184
1	396944	397544
1	397740	398340
1	398222	398822
1	398785	399385
1	404415	405015
1	409599	410199
1	410803	411403
1	416973	417573
1	418120	418720
1	418893	419493
1	422098	422698
1	424167	424767
1	424463	425063
1	428566	429166
1	429537	430137
1	432418	433018
